Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
68583585355fac821c6c7adf,Exportação de Dados,https://trello.com/c/cLBjvQq3/7-exporta%C3%A7%C3%A3o-de-dados,,,,,0,,0,0,0,0,2025-06-22T16:55:33.477Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
6858358d502d90fae6e0efbe,Processamento de Pagamento,https://trello.com/c/BcS1uaSD/9-processamento-de-pagamento,,,,,0,,0,0,0,0,2025-06-22T16:55:41.705Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
68583591d8ad4809a7e77fde,Visualização de Tabela,https://trello.com/c/ZOS19yQ9/10-visualiza%C3%A7%C3%A3o-de-tabela,,,,,0,,0,0,0,0,2025-06-22T16:55:45.936Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
685835968bd02cb466e7e379,Consulta de Resultados,https://trello.com/c/9p980F4A/11-consulta-de-resultados,,,,,0,,0,0,0,0,2025-06-22T16:55:50.252Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
685835997eec7dc20d53100c,Consulta de Classificação,https://trello.com/c/x42vFDSB/12-consulta-de-classifica%C3%A7%C3%A3o,,,,,0,,0,0,0,0,2025-06-22T16:55:53.762Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
6858359d324f0882d85fe6a4,Estatísticas do Campeonato,https://trello.com/c/9FkXLi53/13-estat%C3%ADsticas-do-campeonato,,,,,0,,0,0,0,0,2025-06-22T16:55:57.728Z,6857423b6bbd66a696c74879,Product Backlog,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
685835812494fab5d8fedc1a,Registro de Resultados,https://trello.com/c/T1zrWqXw/6-registro-de-resultados,,,,,0,,0,0,0,0,2025-06-22T16:58:49.174Z,6857425680a253c958cbeabc,Sprint Planning,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
6858357db16b6faf31b01f11,Agendamento de Partidas,https://trello.com/c/yC5Jw513/5-agendamento-de-partidas,,,,,0,,0,0,0,0,2025-06-22T16:58:46.447Z,6857425680a253c958cbeabc,Sprint Planning,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
685835899326a73be7acaa13,Inscrição Online,https://trello.com/c/X3fgcsoe/8-inscri%C3%A7%C3%A3o-online,,,,,0,,0,0,0,0,2025-06-22T16:58:43.462Z,6857425680a253c958cbeabc,Sprint Planning,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
68583574de38892377f9baff,Cadastro de Times,https://trello.com/c/ElANpZEV/3-cadastro-de-times,,,,,0,,0,0,0,0,2025-06-22T16:58:54.113Z,68583548968af254c2dc3171,Em Andamento,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
6858357052246cde9f00a3b6,Cadastro de Jogadores,https://trello.com/c/V9d8oRJ6/2-cadastro-de-jogadores,,,,,0,,0,0,0,0,2025-06-22T16:58:55.380Z,68583548968af254c2dc3171,Em Andamento,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
685835789008522cadf6c879,Criação de Campeonato,https://trello.com/c/oEvoYzuC/4-cria%C3%A7%C3%A3o-de-campeonato,,,,,0,,0,0,0,0,2025-06-22T16:58:40.370Z,6858354cabfcfa52f69ebe1f,Em Revisão / Testes:,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,false
6858356aede1971940d9c2e7,Tela de Login,https://trello.com/c/1AlSoKDg/1-tela-de-login,,(red),,,0,,0,0,0,0,2025-06-22T16:58:32.546Z,68583560866de46be7b0d789,Concluído,6857416489c4f877b77563cb,Diagrama de Casos de Uso – Sistema Web de Controle de Campeonato de Futevôlei,false,,true
